Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
ACD040	ACQ_I	Language(s) spoken at home - Hispanics	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home? {Do you/Does he/Does she} speak only Spanish more Spanish than English both equally more English than Spanish or only English?	HAND CARD ACQ1. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD110	ACQ_I	Language(s) spoken at home - Asians	{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE) more (NON-ENGLISH LANGUAGE) than English both equally more English than (NON-ENGLISH LANGUAGE) or only English?	THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED NON-HISPANIC ASIAN (i.e. RIDRETH3=6).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
SEQN	ACQ_J	Respondent sequence number	Respondent sequence number.		Both males and females 3 YEARS - 150 YEARS		FALSE	False
ACQBOX1	ACQ_J			BOX 1. CHECK ITEM: IF THE PARTICIPANT SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2) GO TO ACD040; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC ASIAN (i.e. RIDRETH3=6) GO TO ACD110; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7) CONTINUE WITH ACD011A.	Both males and females 3 YEARS - 150 YEARS		FALSE	False
ACD011A	ACQ_J	Speak English at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD011B	ACQ_J	Speak Spanish at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD011C	ACQ_J	Speak other language at home -NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD040	ACQ_J	Language(s) spoken at home - Hispanics	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home? {Do you/Does he/Does she} speak only Spanish more Spanish than English both equally more English than Spanish or only English?	HAND CARD ACQ1. THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
ACD110	ACQ_J	Language(s) spoken at home - Asians	{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE) more (NON-ENGLISH LANGUAGE) than English both equally more English than (NON-ENGLISH LANGUAGE) or only English?	THIS VARIABLE ONLY APPLIES TO PARTICIPANTS SELF-IDENTIFIED NON-HISPANIC ASIAN (i.e. RIDRETH3=6).	Both males and females 3 YEARS - 150 YEARS		TRUE	False
SEQN	AGQ_D	Respondent sequence number	Respondent sequence number.		Both males and females 1 YEARS - 150 YEARS		FALSE	False
AGQ010	AGQ_D	Doctor told have hay fever	Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?		Both males and females 1 YEARS - 150 YEARS		TRUE	False
AGD020	AGQ_D	Age when first had hay fever	How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?	IF LESS THAN 1 YEAR ENTER 1. ENTER AGE IN YEARS.	Both males and females 1 YEARS - 150 YEARS		TRUE	True
AGQ030	AGQ_D	Episode of hay fever in past 12 months	During the past 12 months {have you/has SP} had an episode of hay fever?		Both males and females 1 YEARS - 150 YEARS		TRUE	False
AGQ040	AGQ_D	Doctor told have allergies	Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?		Both males and females 1 YEARS - 150 YEARS		TRUE	True
AGD050	AGQ_D	Age when first had allergies	How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?	IF LESS THAN 1 YEAR ENTER 1. ENTER AGE IN YEARS.	Both males and females 1 YEARS - 150 YEARS		TRUE	True
AGQ060	AGQ_D	Allergy symptoms in past 12 months	During the past 12 months {have you/has SP} had any allergy symptoms or an allergy attack?		Both males and females 1 YEARS - 150 YEARS		TRUE	False
AGQ070	AGQ_D	Removed animal from home due to allergy	In the last 12 months {have you/has SP} removed a dog cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?	CAPI INSTRUCTION: DISPLAY {HAS SP} AND {HIS/HER} IF PROXY INTERVIEW FOR SP < 16 YEARS OLD.	Both males and females 1 YEARS - 150 YEARS		TRUE	True
AGQ080A	AGQ_D	Kind of pet removed - dog	Which kind of pet was removed from {your/SP's} home?	CODE ALL THAT APPLY CAPI INSTRUCTION: DISPLAY {SP'S} IF PROXY INTERVIEW FOR SP < 16 YEARS OLD.	Both males and females 1 YEARS - 150 YEARS		TRUE	False
