dataset,condition,seed,model,test_auc_roc,test_auc_pr,test_brier,train_auc_roc,train_test_gap,threshold,n_total,L1,L2,L3,L4,L5
ckd,ablation_L5,512,logistic_l2,0.9992,0.9991,0.0138,0.9999,0.0007,0.3587,399,True,True,True,True,False
ckd,ablation_L5,1024,logistic_l2,1.0,1.0,0.0054,0.9995,-0.0005,0.6316,399,True,True,True,True,False
ckd,ablation_L5,2048,random_forest,0.9996,0.9996,0.0126,1.0,0.0004,0.76,399,True,True,True,True,False
ckd,ablation_L5,4096,logistic_l2,1.0,1.0,0.0089,0.9997,-0.0003,0.561,399,True,True,True,True,False
ckd,ablation_L5,8192,random_forest,1.0,1.0,0.0043,1.0,0.0,0.6,399,True,True,True,True,False
ckd,ablation_L5,16384,logistic_l2,0.9996,0.9996,0.0095,0.9999,0.0003,0.3494,399,True,True,True,True,False
ckd,ablation_L5,32768,logistic_l2,1.0,1.0,0.0064,0.9999,-0.0001,0.2476,399,True,True,True,True,False
ckd,all_leaky,42,random_forest,1.0,1.0,0.0074,1.0,0.0,0.645,399,True,True,True,True,True
ckd,all_leaky,123,logistic_l2,0.9996,0.9996,0.0179,1.0,0.0004,0.2953,399,True,True,True,True,True
ckd,all_leaky,256,logistic_l2,1.0,1.0,0.0187,1.0,0.0,0.1282,399,True,True,True,True,True
ckd,all_leaky,512,logistic_l2,0.9992,0.9991,0.0138,0.9999,0.0007,0.4843,399,True,True,True,True,True
ckd,all_leaky,1024,logistic_l2,1.0,1.0,0.0054,0.9995,-0.0005,0.7563,399,True,True,True,True,True
ckd,all_leaky,2048,hist_gb,0.9992,0.9992,0.0112,1.0,0.0008,0.6552,399,True,True,True,True,True
ckd,all_leaky,4096,logistic_l2,1.0,1.0,0.0089,0.9997,-0.0003,0.2553,399,True,True,True,True,True
ckd,all_leaky,8192,random_forest,1.0,1.0,0.0043,1.0,0.0,0.735,399,True,True,True,True,True
ckd,all_leaky,16384,logistic_l2,0.9996,0.9996,0.0095,0.9999,0.0003,0.2364,399,True,True,True,True,True
ckd,all_leaky,32768,logistic_l2,1.0,1.0,0.0064,0.9999,-0.0001,0.8093,399,True,True,True,True,True
ckd,clean,42,random_forest,0.9993,0.9996,0.0175,1.0,0.0007,0.77,399,False,False,False,False,False
ckd,clean,123,logistic_l2,0.9972,0.9993,0.0352,0.9999,0.0027,0.6775,399,False,False,False,False,False
ckd,clean,256,random_forest,1.0,1.0,0.0114,1.0,0.0,0.735,399,False,False,False,False,False
ckd,clean,512,hist_gb,0.9981,0.9988,0.0182,1.0,0.0019,0.9998,399,False,False,False,False,False
ckd,clean,1024,logistic_l2,0.9994,0.9996,0.0096,0.9998,0.0004,0.6779,399,False,False,False,False,False
ckd,clean,2048,hist_gb,1.0,1.0,0.0184,1.0,0.0,0.9965,399,False,False,False,False,False
ckd,clean,4096,hist_gb,1.0,1.0,0.0036,1.0,0.0,0.9986,399,False,False,False,False,False
ckd,clean,8192,logistic_l2,1.0,1.0,0.0042,0.9997,-0.0003,0.3561,399,False,False,False,False,False
ckd,clean,16384,random_forest,1.0,1.0,0.0016,1.0,0.0,0.635,399,False,False,False,False,False
ckd,clean,32768,logistic_l2,0.9992,0.9997,0.009,1.0,0.0008,0.8764,399,False,False,False,False,False
pima,ablation_L1,42,random_forest,0.9183,0.9036,0.1189,1.0,0.0817,0.545,768,False,True,True,True,True
pima,ablation_L1,123,random_forest,0.9014,0.8791,0.1312,1.0,0.0986,0.435,768,False,True,True,True,True
pima,ablation_L1,256,random_forest,0.8616,0.846,0.1505,1.0,0.1384,0.645,768,False,True,True,True,True
pima,ablation_L1,512,random_forest,0.8543,0.8381,0.1532,1.0,0.1457,0.385,768,False,True,True,True,True
pima,ablation_L1,1024,random_forest,0.881,0.8711,0.1412,1.0,0.119,0.47,768,False,True,True,True,True
pima,ablation_L1,2048,random_forest,0.9066,0.9034,0.1263,1.0,0.0934,0.55,768,False,True,True,True,True
